ID,source,valence,arousal,old_fname,visVal,visArous
5111,EmoMadrid,5.6304347826087,2.75268817204301,NaN,6.5941,4.5925
2634,SMID,5.482,2.27821753151568,NaN,6.4391,4.3575
1608,SMID,4.562,1.81618293755497,NaN,6.401,4.3797
1827,SMID,4.772,2.97713280562885,NaN,6.3794,4.6927
109,EmoPics,5.20125786163522,2.16106194690266,104,6.3359,4.604
793,IAPS,5.51519536903039,3.18827708703375,5471,6.319,4.8007
118,EmoPics,5.36477987421384,1.7646017699115,108,6.2883,4.5756
5308,EmoMadrid,4.3804347826087,2.52688172043011,NaN,6.2577,4.661
6507,SFIP,5.16613418530351,1.52,NaN,6.2575,3.6291
2788,SMID,5.068,3.246848431545,NaN,6.2565,4.7848
4136,SMID,4.556,3.36411609498681,NaN,6.2464,3.9703
6487,SFIP,5.47284345047923,1,NaN,6.2156,4.0857
1236,GAPED,4.86090741738962,3.08533696895472,NaN,6.2078,5.0066
3195,SMID,5.342,3.1882145998241,NaN,6.1807,4.6427
5049,EmoMadrid,4.65217391304348,1.96774193548387,NaN,6.178,4.897
238,EmoPics,5.57861635220126,1.50973451327434,177,6.1423,4.4774
1620,SMID,5.286,3.38053356786866,NaN,6.1199,4.0001
4171,SMID,5,3.23512166520082,NaN,6.1185,3.982
3954,SMID,4.408,1.58633831720903,NaN,6.1114,4.5009
3727,SMID,5.432,2.25710935209616,NaN,6.1065,4.5501
3316,SMID,5.124,3.27030196423336,NaN,6.1018,4.8028
2740,SMID,5.482,3.32893579595427,NaN,6.085,4.5663
1593,SMID,5.334,3.15537965406039,NaN,6.0671,4.3564
224,EmoPics,4.84905660377358,2.82654867256637,167,6.0409,4.5364
7406,OASIS,5.25500910754934,2.9459459464825,NaN,6.0257,4.2851
2506,SMID,5.552,2.44004690706538,NaN,6.0209,4.6154
4588,EmoMadrid,5.1195652173913,2.04301075268817,NaN,6.02,4.1667
4074,SMID,5.134,2.53151568454999,NaN,6.0134,3.8096
3379,SMID,5.452,1.67077103488713,NaN,6.0072,3.8565
2654,SMID,4.74,3.1366168279097,NaN,5.9869,4.4844
3696,SMID,5.4,3.0779829961888,NaN,5.9863,4.6225
2745,SMID,5.06,3.20932277924362,NaN,5.9682,4.7579
3203,SMID,5.416,3.42978598651422,NaN,5.938,4.4747
93,EmoPics,5.31446540880503,1.50973451327434,93,5.9301,4.9386
179,EmoPics,5.30188679245283,1.94867256637168,143,5.9218,4.9542
131,EmoPics,4.78616352201258,1.87787610619469,113,5.9147,4.6675
3267,SMID,5.2,3.40867780709469,NaN,5.9129,4.7709
4689,EmoMadrid,4.39130434782609,1.08602150537634,NaN,5.9123,5.0144
302,IAPS,4.60057887120116,2.97513321492007,2104,5.9008,4.7605
142,EmoPics,5.62893081761006,1.99115044247788,121,5.8882,4.3633
6409,GAPED,5.14023168536355,2.88208108514055,NaN,5.8651,3.9219
7940,OASIS,5.31344118055673,2.11046969201306,NaN,5.8641,3.8629
4635,EmoMadrid,5.27173913043478,2.66666666666667,NaN,5.8623,4.8569
1763,SMID,4.818,3.06391087657578,NaN,5.8581,3.8922
2496,SMID,5.6,2.68630900029317,NaN,5.8416,4.2223
6928,OASIS,5.43117098663709,1.30094701893127,NaN,5.8393,4.1858
167,EmoPics,5.31446540880503,1.63716814159292,133,5.8379,4.2362
132,EmoPics,5.54088050314465,1.31150442477876,114,5.8338,4.8318
905,IAPS,5.23733719247467,3.0461811722913,7002,5.8218,4.6081
4631,EmoMadrid,5.18478260869565,2.40860215053763,NaN,5.8196,4.7932
169,EmoPics,5.44025157232704,2.55752212389381,135,5.8143,4.4946
6463,GAPED,5.3595089653489,1.57436655844531,NaN,5.8142,4.4629
4780,EmoMadrid,5.6195652173913,2.81720430107527,NaN,5.8104,3.8991
2409,SMID,4.676,2.21020228671944,NaN,5.8078,4.4071
147,EmoPics,5.35220125786164,1.99115044247788,124,5.8011,4.3247
2882,SMID,4.586,2.60187628261507,NaN,5.7979,4.8784
580,EmoPics,5.60377358490566,1.28318584070796,309,5.7734,4.031
662,EmoPics,5.40251572327044,2.37345132743363,360,5.773,4.0986
670,EmoPics,5.50314465408805,1.52389380530973,368,5.7651,3.6299
4684,EmoMadrid,5.01086956521739,1.94623655913978,NaN,5.758,4.9186
1787,SMID,4.438,3.0779829961888,NaN,5.7542,4.319
5209,EmoMadrid,4.89130434782609,2.02150537634409,NaN,5.7538,4.8492
660,EmoPics,4.82389937106918,1.55221238938053,358,5.7526,3.7997
178,EmoPics,5.57861635220126,2.21769911504425,142,5.7507,4.2225
87,EmoPics,5.20125786163522,2.47256637168142,87,5.7464,4.7756
5268,EmoMadrid,5.55434782608696,3.06451612903226,NaN,5.7356,4.5756
6067,OASIS,5.54644808845508,1.90417690314281,NaN,5.7354,4.2261
6522,SFIP,4.83386581469649,1,NaN,5.7349,4.4656
5836,OASIS,4.96357012812995,1.74692874745555,NaN,5.7303,5.0524
4636,EmoMadrid,5.42391304347826,2.40860215053763,NaN,5.7214,4.8461
2484,SMID,4.572,2.25710935209616,NaN,5.7072,5.0141
7682,SFIP,4.83386581469649,2.52,NaN,5.7,5.2913
4238,SMID,4.878,2.77308707124011,NaN,5.6914,4.7775
945,IAPS,5.24891461649783,2.79040852575488,7161,5.6895,4.8772
4192,SMID,4.858,3.00527704485488,NaN,5.6845,4.961
1857,SMID,4.38,2.60187628261507,NaN,5.6824,4.3572
6341,NAPS_ERO,5.47634584013051,3.23941068139963,NaN,5.6791,4.6856
3636,SMID,5.358,1.92172383465259,NaN,5.6766,4.3796
4726,EmoMadrid,4.55434782608696,1.72043010752688,NaN,5.6765,4.7143
7683,SFIP,5.16613418530351,3,NaN,5.6675,4.3652
6354,NAPS_ERO,5.59380097879282,3.03314917127072,NaN,5.6656,5.0408
332,IAPS,4.84370477568741,3.35879218472469,2215,5.6654,4.6435
114,EmoPics,5.61635220125786,1.09911504424779,106,5.6638,4.8572
136,EmoPics,5.12578616352201,2.11858407079646,118,5.657,5.2222
3522,SMID,5.562,2.77074171797127,NaN,5.6532,5.3482
646,EmoPics,5.56603773584906,1.39646017699115,348,5.644,3.816
1909,SMID,5.562,1.96394019349164,NaN,5.6431,4.4301
526,IAPS,5.16787264833575,2.0088809946714,2840,5.642,5.1538
113,EmoPics,5.30188679245283,2.21769911504425,105,5.6378,5.2319
7680,SFIP,5.16613418530351,2,NaN,5.6358,5.375
3967,SMID,5.06,2.08355321020229,NaN,5.6332,4.7995
908,IAPS,5.19102749638205,2.83303730017762,7009,5.6251,5.038
2656,SMID,5.206,2.5197889182058,NaN,5.6114,4.89
3129,SMID,4.572,3.34535326883612,NaN,5.6106,4.5238
7678,SFIP,4.83386581469649,3,NaN,5.6062,4.6796
7918,SFIP,5.47284345047923,2.52,NaN,5.6058,3.9798
401,IAPS,5.24891461649783,2.49200710479574,2397,5.6044,4.9542
171,EmoPics,5.30188679245283,3.05309734513274,137,5.5989,4.2155
2253,SMID,4.778,3.34535326883612,NaN,5.5941,4.5386
120,EmoPics,5.47798742138365,1.87787610619469,109,5.5932,4.4774
4668,EmoMadrid,5.60869565217391,2.50537634408602,NaN,5.589,5.2871
427,IAPS,5.06367583212735,3.30195381882771,2493,5.584,5.3571
928,IAPS,5.52677279305354,2.74777975133215,7053,5.5837,4.6975
5095,EmoMadrid,5.47826086956522,2.38709677419355,NaN,5.5822,4.9278
390,IAPS,4.9479015918958,3.40142095914742,2383,5.5794,4.865
1764,SMID,4.642,1.9545587804163,NaN,5.5725,4.3978
165,EmoPics,5.54088050314465,2.40176991150443,132,5.571,4.8636
671,EmoPics,5.59119496855346,1.84955752212389,369,5.5709,3.9834
1820,SMID,4.688,2.84344766930519,NaN,5.5677,4.445
400,IAPS,5.16787264833575,3.30195381882771,2396,5.567,4.58
170,EmoPics,5.16352201257862,3.3929203539823,136,5.5659,4.9412
96,EmoPics,5.16352201257862,2.47256637168142,96,5.5611,4.0688
134,EmoPics,5.10062893081761,2.86902654867257,116,5.5538,4.6438
1613,SMID,5.594,3.09674582233949,NaN,5.553,5.0223
3472,SMID,5.068,3.2984462034594,NaN,5.5507,5.3053
6535,SFIP,4.83386581469649,1,NaN,5.5505,3.8203
177,EmoPics,5.12578616352201,1.09911504424779,141,5.5481,4.3613
5054,EmoMadrid,5.5,2.88172043010753,NaN,5.5474,3.9332
674,EmoPics,5.62893081761006,1.50973451327434,372,5.5431,4.6641
1889,SMID,4.938,2.69803576663735,NaN,5.5384,3.7305
916,IAPS,5.13314037626628,3.27353463587922,7036,5.5371,4.7402
4246,SMID,5.516,2.92084432717678,NaN,5.5343,4.7554
3048,SMID,4.84,2.09293462327763,NaN,5.5336,4.2104
605,EmoPics,4.74842767295597,2.44424778761062,320,5.525,3.7663
6931,OASIS,5.38129933330212,1.3420903412144,NaN,5.5242,5.121
3552,SMID,4.794,3.09440046907065,NaN,5.5125,4.0741
1782,SMID,5.628,2.70976253298153,NaN,5.5117,4.1612
4762,EmoMadrid,4.92391304347826,2.76344086021505,NaN,5.5115,4.8137
7114,OASIS,5.40173853548858,1.76353140440026,NaN,5.5111,4.8559
2322,SMID,4.876,3.3570800351803,NaN,5.5051,5.1743
2988,SMID,4.484,2.53151568454999,NaN,5.5046,4.5363
6435,GAPED,5.30361156596117,3.02590380238241,NaN,5.5041,4.2853
5104,EmoMadrid,4.97826086956522,1.11827956989247,NaN,5.4996,5.045
2427,SMID,4.624,3.42978598651422,NaN,5.4941,4.4774
122,EmoPics,4.67295597484277,2.55752212389381,110,5.481,4.5853
4573,EmoMadrid,5.54347826086957,1.63440860215054,NaN,5.4806,4.9365
6413,GAPED,5.53639535001983,1.98808794814618,NaN,5.4785,4.3666
116,EmoPics,5.08805031446541,1.63716814159292,107,5.4782,4.5521
6449,GAPED,5.61678345860073,2.16962253469053,NaN,5.4725,3.8029
910,IAPS,5.23733719247467,1.63943161634103,7020,5.462,5.2307
